ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0223,9.0216,4.2698,-0.059,8.5625,4.7802,0.2308,0.3915,-0.6088,-0.129,0.2626,-0.0597,1.0128,-36.65,-3.66,15.13,112.76,-60.83,0.71,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,17,2020-09-22 19:19:42:638
-0.1289,8.7992,4.404,-0.2707,8.4581,4.9555,0.1768,0.5769,-0.467,-0.129,0.2626,-0.0597,1.0128,-36.65,-3.66,15.13,112.76,-60.83,0.71,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,117,2020-09-22 19:19:42:738
-0.185,8.2393,4.6846,-0.2588,8.4352,4.9951,0.1415,0.2257,-0.5683,-0.0819,-0.0301,-0.0016,0.844,-36.59,-3.77,13.14,112.27,-59.33,2.97,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,217,2020-09-22 19:19:42:838
-0.4266,8.8621,5.0556,-0.2588,8.4352,4.9951,0.1415,0.2257,-0.5683,-0.0373,-0.1218,-0.0259,0.844,-35.41,-3.67,14.18,114.53,-59.33,2.97,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,317,2020-09-22 19:19:42:938
-0.4266,8.8621,5.0556,-0.1502,8.4247,5.0172,-0.2614,0.4205,-0.5473,-0.0373,-0.1218,-0.0259,0.6752,-35.41,-3.67,14.18,114.53,-59.33,2.97,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,417,2020-09-22 19:19:43:038
0.2653,8.7554,4.4622,0.0647,8.4651,4.9506,-0.4361,0.4041,-0.3908,-0.028,-0.2529,0.0146,0.6752,-35.75,-3.71,15.15,114.04,-59.21,1.71,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,516,2020-09-22 19:19:43:137
0.3125,8.7629,4.8447,-0.0088,8.522,4.8524,0.5253,-0.2689,0.0756,0.1458,-0.1485,-0.1645,1.1816,-35.12,-4.24,15.46,112.49,-59.68,-0.75,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,617,2020-09-22 19:19:43:238
0.3125,8.7629,4.8447,-0.0088,8.522,4.8524,0.5253,-0.2689,0.0756,0.2639,-0.2282,-0.1066,1.1816,-34.68,-4.31,16.86,115.67,-60.34,0.1,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,717,2020-09-22 19:19:43:338
-0.2576,8.7389,3.8859,-0.0116,8.6792,4.5653,0.214,0.0294,0.0811,0.2639,-0.2282,-0.1066,0.844,-34.68,-4.31,16.86,115.67,-60.34,0.1,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,817,2020-09-22 19:19:43:438
-0.326,8.897,4.365,0.0389,8.7161,4.4942,-0.0673,0.0673,-0.2222,-0.0469,-0.0409,0.0188,0.844,-33.02,-3.31,18.12,117.84,-62.26,0.15,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,917,2020-09-22 19:19:43:538
-0.1303,8.6089,4.9734,-0.0849,8.5221,4.8515,0.3361,0.9457,-0.7726,-0.43,0.3612,-0.0419,1.3504,-33.46,-3.28,17.06,116.09,-62.72,-0.5,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1017,2020-09-22 19:19:43:638
-0.1303,8.6089,4.9734,-0.0849,8.5221,4.8515,0.3361,0.9457,-0.7726,-0.43,0.3612,-0.0419,1.3504,-33.04,-3.86,17.69,119.01,-60.34,1.0,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1117,2020-09-22 19:19:43:738
0.4617,8.754,4.2623,0.0672,8.544,4.8132,0.1672,-0.4954,-0.0697,0.1632,-0.2087,-0.1008,1.0128,-33.04,-3.86,17.69,119.01,-60.34,1.0,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1216,2020-09-22 19:19:43:837
0.0326,8.7444,5.3519,-0.4105,8.5462,4.7921,0.4508,0.7376,0.6565,0.018,0.0818,-0.2664,1.0128,-33.68,-4.7,17.39,116.21,-60.6,-0.8,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1317,2020-09-22 19:19:43:938
0.0326,8.7444,5.3519,-0.4105,8.5462,4.7921,0.4508,0.7376,0.6565,0.0612,-0.3839,-0.0133,0.844,-32.86,-5.78,17.91,123.86,-60.63,4.9,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1417,2020-09-22 19:19:44:038
0.2229,8.0395,4.2212,-0.2698,8.5593,4.7787,0.2458,-0.6015,-0.156,0.0612,-0.3839,-0.0133,0.844,-32.68,-5.77,19.16,123.51,-60.79,3.23,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1516,2020-09-22 19:19:44:137
-0.5512,8.4159,5.3348,-0.3568,8.5355,4.8155,0.2534,0.373,-0.2664,-0.0939,0.2677,-0.0223,0.0,-32.68,-5.77,19.16,123.51,-60.79,3.23,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1617,2020-09-22 19:19:44:238
-0.3021,9.3597,4.4505,-0.2568,8.5456,4.8038,-0.0425,0.1983,-0.1048,-0.0201,0.0064,-0.0332,0.0,-32.93,-5.28,18.58,123.78,-60.5,4.24,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1717,2020-09-22 19:19:44:338
-0.3021,9.3597,4.4505,-0.2568,8.5456,4.8038,-0.0425,0.1983,-0.1048,-0.0201,0.0064,-0.0332,0.0,-33.0,-5.45,18.14,121.56,-60.62,3.06,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,1817,2020-09-22 19:19:44:438
-0.5225,8.4234,4.3266,-0.3399,8.5377,4.8128,-0.4063,0.318,0.2576,0.0811,-0.2982,-0.0685,0.0,-32.58,-5.91,18.28,123.07,-60.53,4.04,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,1917,2020-09-22 19:19:44:538
-0.5409,8.73,4.3992,-0.4045,8.5621,4.7641,0.2274,0.0754,-1.088,-0.0367,0.3163,3.0E-4,0.0,-32.58,-5.91,18.28,123.07,-60.53,4.04,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2017,2020-09-22 19:19:44:638
-0.7004,8.8868,4.5812,-0.4045,8.5621,4.7641,0.2274,0.0754,-1.088,0.1371,0.0561,-0.1085,0.0,-33.51,-5.79,16.88,121.94,-60.82,4.85,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2117,2020-09-22 19:19:44:738
-0.7004,8.8868,4.5812,-0.5531,8.5812,4.7146,0.0046,-0.5399,0.5575,0.1371,0.0561,-0.1085,0.0,-34.2,-6.09,16.57,123.63,-61.05,6.69,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2216,2020-09-22 19:19:44:837
-0.684,9.2461,4.4081,-0.6794,8.5917,4.6788,0.0566,0.7624,0.2775,0.0367,-0.1918,-0.1712,0.0,-33.64,-6.38,17.39,125.08,-61.18,8.26,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2316,2020-09-22 19:19:44:937
-0.452,8.676,3.777,-0.6216,8.6343,4.6079,0.0526,0.0449,-0.6927,0.0568,-0.1384,-0.0204,0.0,-33.64,-6.38,17.39,125.08,-61.18,8.26,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2416,2020-09-22 19:19:45:037
-0.452,8.676,3.777,-0.6216,8.6343,4.6079,0.0526,0.0449,-0.6927,-0.0438,0.1437,-0.0448,0.0,-32.91,-6.78,18.19,127.09,-61.7,7.68,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2517,2020-09-22 19:19:45:138
-0.7483,8.8608,5.0672,-0.7655,8.6119,4.6282,0.0285,0.1452,-0.1192,-0.0438,0.1437,-0.0448,0.0,-33.3,-7.01,17.01,127.44,-61.42,9.39,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2617,2020-09-22 19:19:45:238
-0.8168,8.2906,4.4238,-0.8549,8.6146,4.6074,-0.0394,0.1195,-0.2212,0.0023,-0.1824,-0.1356,0.0,-32.26,-7.1,18.55,131.63,-61.46,10.51,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2716,2020-09-22 19:19:45:337
-0.4328,9.5876,4.8797,-0.9794,8.5867,4.6347,0.747,1.2238,-0.995,-0.1691,0.1843,-0.1478,0.0,-32.26,-7.1,18.55,131.63,-61.46,10.51,2.0,0.0,12.354807,76.59647,2201.43,NaN,6.91,19.030869,113.7,12 / 42,2816,2020-09-22 19:19:45:437
-0.4328,9.5876,4.8797,-0.9794,8.5867,4.6347,0.747,1.2238,-0.995,-0.1691,0.1843,-0.1478,0.0,-32.36,-8.31,18.41,132.27,-61.12,11.93,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,2917,2020-09-22 19:19:45:538
-0.5759,8.4303,4.0522,-0.873,8.5492,4.7244,0.4185,0.3451,-0.0804,-0.0062,-0.2857,0.0543,0.0,-31.57,-8.85,18.57,132.61,-60.67,10.47,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3020,2020-09-22 19:19:45:641
-0.4396,8.7602,3.5334,-0.6501,8.5241,4.8049,0.0641,-0.3422,-0.7916,0.1919,-0.3247,0.1322,0.0,-31.51,-7.98,19.91,130.64,-60.37,7.71,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3117,2020-09-22 19:19:45:738
-1.0221,9.5308,6.46,-0.6439,8.5716,4.7206,0.0641,-0.3422,-0.7916,-0.1338,0.2222,-0.107,0.0,-31.51,-7.98,19.91,130.64,-60.37,7.71,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3217,2020-09-22 19:19:45:838
-1.0221,9.5308,6.46,-0.6288,8.5554,4.7519,0.0414,2.2116,0.8034,-0.1338,0.2222,-0.107,0.0,-32.12,-8.07,18.55,129.62,-60.93,7.77,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3316,2020-09-22 19:19:45:937
0.1743,7.16,3.4437,-0.6288,8.5554,4.7519,0.1878,-0.8307,-0.5545,0.126,-0.2335,0.105,0.0,-31.42,-8.46,19.75,131.37,-60.74,7.54,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3417,2020-09-22 19:19:46:038
-0.7935,10.8258,5.2828,-0.4544,8.642,4.6131,0.9034,0.5705,-1.8028,-0.2631,0.4924,-0.1332,0.0,-31.42,-8.46,19.75,131.37,-60.74,7.54,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3517,2020-09-22 19:19:46:138
-0.7935,10.8258,5.2828,-0.7807,8.5142,4.8031,0.9034,0.5705,-1.8028,-0.2631,0.4924,-0.1332,0.0,-31.34,-8.2,20.48,129.72,-61.79,5.63,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3616,2020-09-22 19:19:46:237
-0.3295,7.4988,4.0371,-0.5512,8.5979,4.6843,-0.4389,-0.1297,1.5312,0.1732,-0.3889,0.0529,0.0,-31.45,-8.16,19.65,132.87,-60.25,9.23,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3717,2020-09-22 19:19:46:338
-0.4848,9.4576,4.3581,-0.5512,8.5979,4.6843,0.6634,-0.5684,-1.2649,-0.047,0.2548,-0.0798,0.0,-31.41,-8.51,20.39,131.21,-61.25,6.71,2.0,0.0,12.354819,76.5965,2190.58,NaN,9.72,18.182499,114.5,13 / 42,3817,2020-09-22 19:19:46:438
-1.0919,7.8506,5.252,-0.8647,8.5294,4.7616,0.6634,-0.5684,-1.2649,-0.0129,-0.0616,-0.0016,0.0,-31.41,-8.51,20.39,131.21,-61.25,6.71,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,3916,2020-09-22 19:19:46:537
-1.0919,7.8506,5.252,-0.7042,8.5599,4.7331,-0.4753,0.6461,1.3251,-0.0129,-0.0616,-0.0016,0.0,-31.47,-8.34,19.11,132.71,-60.43,10.29,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4017,2020-09-22 19:19:46:638
-0.736,8.5815,3.9913,-0.7042,8.5599,4.7331,0.0848,-1.2172,-0.8005,0.1237,0.0057,0.0759,0.0,-31.28,-7.97,20.01,132.22,-60.79,8.46,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4117,2020-09-22 19:19:46:738
-1.6169,8.2564,5.5743,-0.7422,8.601,4.6521,-0.803,0.9923,0.3813,-0.0997,2.0E-4,0.0252,0.0,-32.23,-7.76,19.44,130.83,-61.29,9.06,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4217,2020-09-22 19:19:46:838
-1.6169,8.2564,5.5743,-0.5942,8.6263,4.6264,-0.803,0.9923,0.3813,0.1172,-0.1311,-0.0909,0.0,-31.48,-7.6,21.08,132.36,-61.6,7.32,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4316,2020-09-22 19:19:46:937
-0.4889,10.04,3.0796,-0.8134,8.5835,4.6724,-0.2499,-0.5008,-1.0195,0.1172,-0.1311,-0.0909,0.0,-31.48,-7.6,21.08,132.36,-61.6,7.32,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4417,2020-09-22 19:19:47:038
-0.7155,8.0874,4.8892,-0.8134,8.5835,4.6724,0.0888,0.2355,0.9954,0.0311,-0.0911,-0.0455,0.0,-31.14,-8.11,19.62,133.55,-61.08,9.88,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4517,2020-09-22 19:19:47:138
-0.5184,9.023,4.6723,-0.7109,8.6265,4.6095,0.4476,0.3327,-1.035,-0.0781,0.1591,0.0126,0.0,-30.97,-8.28,20.36,132.58,-61.6,8.77,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4617,2020-09-22 19:19:47:238
-0.5184,9.023,4.6723,-0.8221,8.608,4.6257,0.4476,0.3327,-1.035,-0.0781,0.1591,0.0126,0.0,-31.37,-8.32,19.76,133.76,-61.37,10.08,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4717,2020-09-22 19:19:47:338
-1.2979,8.8943,4.7804,-0.8221,8.608,4.6257,-0.3486,0.3732,0.1542,0.0259,0.0819,0.0334,0.0,-31.37,-8.32,19.76,133.76,-61.37,10.08,2.0,0.0,12.354783,76.59653,2207.65,NaN,13.46,17.29462,123.2,13 / 42,4817,2020-09-22 19:19:47:438
-0.853,8.3762,4.5176,-0.8232,8.6257,4.5925,-0.1837,0.1116,-0.2098,-0.0262,-0.0435,-0.0086,0.0,-31.48,-7.97,20.21,133.86,-61.59,10.16,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,4917,2020-09-22 19:19:47:538
-0.4616,9.3823,4.3034,-0.7629,8.6342,4.5869,-0.1837,0.1116,-0.2098,0.1656,0.0106,-0.1169,0.0,-31.26,-7.9,19.21,132.05,-61.7,9.44,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5017,2020-09-22 19:19:47:638
-0.4616,9.3823,4.3034,-0.9589,8.6604,4.4999,0.4396,-1.1345,-0.0018,0.1656,0.0106,-0.1169,0.0,-31.65,-7.48,18.52,133.1,-62.02,12.03,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5117,2020-09-22 19:19:47:738
-1.3746,7.5172,6.4963,-0.9589,8.6604,4.4999,-0.0791,0.7358,1.8528,-0.173,0.099,0.2208,0.0,-31.65,-7.48,18.52,133.1,-62.02,12.03,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5217,2020-09-22 19:19:47:838
-0.7668,9.0435,4.4608,-0.5736,8.6247,4.632,-0.3208,-0.6669,-0.0014,0.0668,-0.1947,0.1713,0.0,-31.84,-6.96,19.88,129.61,-61.58,7.06,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5317,2020-09-22 19:19:47:938
-0.7668,9.0435,4.4608,-0.4273,8.6014,4.6908,-0.3208,-0.6669,-0.0014,0.0668,-0.1947,0.1713,0.0,-31.96,-6.48,20.38,127.3,-61.29,5.2,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5417,2020-09-22 19:19:48:038
-0.619,7.5898,6.189,-0.3507,8.5378,4.8118,-0.1015,0.2158,1.0274,-0.1532,-0.0578,-0.0493,0.0,-31.28,-7.14,20.68,128.81,-60.53,4.17,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5517,2020-09-22 19:19:48:138
-0.1344,8.9039,4.5066,-0.3507,8.5378,4.8118,0.202,-0.58,0.0977,0.0659,-0.1024,-0.0165,0.0,-31.28,-7.14,20.68,128.81,-60.53,4.17,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5617,2020-09-22 19:19:48:238
-0.8264,7.663,5.2006,-0.3532,8.5126,4.8561,0.202,-0.58,0.0977,0.1457,0.1151,-0.0641,0.0,-31.72,-7.23,20.01,126.86,-60.53,4.17,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5718,2020-09-22 19:19:48:339
-0.8264,7.663,5.2006,-0.4874,8.6169,4.6564,0.0387,-1.2314,1.1466,0.1457,0.1151,-0.0641,0.0,-31.77,-7.52,20.78,128.49,-60.23,4.16,2.0,0.0,12.354774,76.596565,2204.36,NaN,15.66,15.512949,118.1,12 / 42,5817,2020-09-22 19:19:48:438
-0.6908,8.2044,4.5032,-0.4874,8.6169,4.6564,0.963,0.2218,-0.3655,-0.2378,0.6101,-0.3978,0.0,-31.33,-8.03,18.34,127.7,-61.48,5.97,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,5917,2020-09-22 19:19:48:538
-1.6155,8.8601,6.1794,-1.275,8.4165,4.869,-0.0966,0.2,1.1953,0.1671,0.2128,-0.0805,0.0,-31.33,-8.03,18.34,127.7,-61.48,5.97,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6016,2020-09-22 19:19:48:637
-1.6155,8.8601,6.1794,-1.3253,8.5102,4.6894,-0.0966,0.2,1.1953,0.2164,-0.4442,0.157,0.0,-31.1,-8.16,17.46,134.18,-59.12,14.67,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6117,2020-09-22 19:19:48:738
-1.4793,8.0792,4.1514,-0.8553,8.7253,4.3941,-0.7272,-0.3803,0.0896,0.2164,-0.4442,0.157,0.1688,-30.77,-7.92,19.88,138.93,-60.2,15.78,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6217,2020-09-22 19:19:48:838
-0.7709,10.1988,4.0912,-0.8553,8.7253,4.3941,-0.6595,0.3809,-0.6737,0.1717,0.1186,0.3329,0.1688,-31.59,-7.13,20.52,134.55,-62.84,11.01,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6317,2020-09-22 19:19:48:938
-0.9934,7.8478,5.8337,-0.7984,8.721,4.4133,1.1036,-0.3226,0.6887,-0.1896,0.2682,-0.2114,0.0,-31.59,-7.13,20.52,134.55,-62.84,11.01,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6417,2020-09-22 19:19:49:038
-0.9934,7.8478,5.8337,-1.0799,8.7701,4.2533,1.1036,-0.3226,0.6887,-0.1896,0.2682,-0.2114,0.0,-32.17,-8.48,19.25,132.05,-62.78,10.25,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6516,2020-09-22 19:19:49:137
-3.111,8.3748,1.9927,-1.0799,8.7701,4.2533,-0.0135,-1.5237,-0.7331,0.3907,0.2201,-0.1743,0.0,-32.66,-8.28,19.82,136.16,-63.42,14.25,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6616,2020-09-22 19:19:49:237
-1.801,9.3905,4.2794,-1.2049,8.9045,3.928,-0.9378,0.6971,-2.7117,-0.7557,-0.0063,0.1124,0.0,-32.27,-8.63,19.65,140.17,-65.23,17.05,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6717,2020-09-22 19:19:49:338
0.1168,7.9163,5.855,-1.0666,8.5795,4.6286,-0.9378,0.6971,-2.7117,-0.0068,0.3215,-0.0939,0.0,-32.27,-8.63,19.65,140.17,-65.23,17.05,2.0,0.0,12.354739,76.59661,2217.5,NaN,15.55,15.21721,116.1,14 / 42,6817,2020-09-22 19:19:49:438
0.1168,7.9163,5.855,-1.3229,8.5954,4.532,1.855,0.9501,1.5251,-0.0068,0.3215,-0.0939,0.0,-32.51,-8.96,18.02,132.97,-61.03,12.98,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,6917,2020-09-22 19:19:49:538
-1.5902,6.5857,4.764,-1.3229,8.5954,4.532,0.8674,-1.2803,-0.2506,0.0038,-0.0423,-0.3111,0.0,-32.42,-9.51,16.85,136.11,-61.22,16.27,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7018,2020-09-22 19:19:49:639
-2.998,12.4106,3.0307,-1.4423,8.6882,4.3134,-0.4108,-1.9636,0.4468,0.2178,0.0048,0.2993,0.0,-32.39,-7.71,19.15,139.68,-62.37,18.49,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7116,2020-09-22 19:19:49:737
-0.0013,8.791,4.971,-1.3673,8.6637,4.3865,-0.6998,3.0427,-1.1665,0.2178,0.0048,0.2993,0.0,-32.39,-7.71,19.15,139.68,-62.37,18.49,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7217,2020-09-22 19:19:49:838
-1.3691,7.4183,3.9625,-1.5345,8.6156,4.4256,0.3508,-1.7189,0.106,-0.1586,0.1521,-0.2333,0.0,-31.49,-8.66,17.48,137.42,-62.06,17.31,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7317,2020-09-22 19:19:49:938
-4.6653,8.9778,3.5912,-1.5345,8.6156,4.4256,0.3508,-1.7189,0.106,0.1138,0.0796,-0.2501,0.0,-32.26,-8.72,17.21,138.23,-61.47,19.12,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7416,2020-09-22 19:19:50:037
0.8994,11.1984,7.4743,-1.5856,8.5898,4.4577,-3.2795,0.9114,-1.121,-0.6562,0.2416,-0.1828,0.0,-32.44,-8.81,15.38,136.11,-61.15,19.58,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7517,2020-09-22 19:19:50:138
-0.8445,5.6624,5.3303,-1.6961,8.3433,4.8665,1.4514,-0.2453,2.4313,-0.6562,0.2416,-0.1828,0.0,-32.44,-8.81,15.38,136.11,-61.15,19.58,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7617,2020-09-22 19:19:50:238
-1.5607,6.532,2.0797,-1.6961,8.3433,4.8665,1.4514,-0.2453,2.4313,0.7019,-0.7802,0.0146,0.0,-31.57,-9.9,14.82,136.1,-58.3,19.22,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7717,2020-09-22 19:19:50:338
-1.0936,12.9136,3.1744,-1.4933,8.6794,4.3137,0.5669,-2.6613,-1.5498,-1.0471,0.5012,0.0972,0.0,-32.34,-8.36,16.17,136.52,-62.26,19.09,2.0,0.0,12.354716,76.59664,2215.56,NaN,16.92,14.56099,121.4,16 / 42,7817,2020-09-22 19:19:50:438
-2.4519,7.4303,7.6755,-2.0483,8.1424,5.0672,1.8506,3.2123,2.9301,0.5228,-0.6361,0.2133,0.0,-32.15,-9.14,12.57,135.21,-56.13,22.01,2.0,0.0,12.354675,76.59669,2223.26,NaN,20.12,13.976172,123.1,17 / 42,7917,2020-09-22 19:19:50:538
-1.2374,6.1799,2.4941,-1.6159,8.4936,4.6279,0.5897,-2.0767,-0.6799,0.5228,-0.6361,0.2133,0.0,-32.15,-9.14,12.57,135.21,-56.13,22.01,2.0,0.0,12.354675,76.59669,2223.26,NaN,20.12,13.976172,123.1,17 / 42,8017,2020-09-22 19:19:50:638
-4.191,8.9131,2.5132,-1.6159,8.4936,4.6279,0.5897,-2.0767,-0.6799,-0.1408,0.286,-0.0761,0.0,-32.21,-8.32,15.14,135.15,-60.01,19.25,2.0,0.0,12.354675,76.59669,2223.26,NaN,20.12,13.976172,123.1,17 / 42,8116,2020-09-22 19:19:50:737
-2.2387,7.6866,8.0037,-1.9772,8.2701,4.8854,-1.6613,0.6856,-1.5078,0.342,-0.231,0.0345,0.0,-32.59,-8.29,12.83,134.08,-57.49,22.03,2.0,0.0,12.354675,76.59669,2223.26,NaN,20.12,13.976172,123.1,17 / 42,8217,2020-09-22 19:19:50:838
-1.8219,7.9645,3.0906,-1.5686,8.5613,4.5182,-0.6837,-1.4936,0.3968,0.342,-0.231,0.0345,0.0,-32.59,-8.29,12.83,134.08,-57.49,22.03,2.0,0.0,12.354675,76.59669,2223.26,NaN,20.12,13.976172,123.1,17 / 42,8324,2020-09-22 19:19:50:945
-2.1668,10.7026,1.5766,-1.732,8.3465,4.8484,-0.1998,2.0486,-2.6428,0.0233,-0.0637,0.1969,0.0,-32.4,-7.85,16.18,136.43,-60.81,19.15,2.0,0.0,12.354675,76.59669,2223.26,NaN,20.12,13.976172,123.1,17 / 42,8417,2020-09-22 19:19:51:038
